Date,SST_Celsius,SST_Anomaly,HotSpot,HotSpot_Filtered,DHW
2023-06-14,29.85,0.0,0.3500000000000014,0.0,14.115714285714285
2023-06-15,30.05,0.21,0.5500000000000007,0.0,14.115714285714285
2023-06-16,30.03,0.21,0.5300000000000011,0.0,14.115714285714285
2023-06-17,30.13,0.33,0.629999999999999,0.0,14.115714285714285
2023-06-18,30.12,0.34,0.620000000000001,0.0,14.115714285714285
2023-06-19,29.87,0.1,0.370000000000001,0.0,14.115714285714285
2023-06-20,29.78,0.03,0.28000000000000114,0.0,14.115714285714285
2023-06-21,29.91,0.17,0.41000000000000014,0.0,14.115714285714285
2023-06-22,30.11,0.4,0.6099999999999994,0.0,14.115714285714285
2023-06-23,30.26,0.56,0.7600000000000016,0.0,14.115714285714285
2023-06-24,30.02,0.34,0.5199999999999996,0.0,14.115714285714285
2023-06-25,29.77,0.11,0.2699999999999996,0.0,14.115714285714285
2023-06-26,29.78,0.13,0.28000000000000114,0.0,14.115714285714285
2023-06-27,29.83,0.2,0.3299999999999983,0.0,14.115714285714285
2023-06-28,29.84,0.22,0.33999999999999986,0.0,14.115714285714285
2023-06-29,29.91,0.31,0.41000000000000014,0.0,14.115714285714285
2023-06-30,29.76,0.18,0.26000000000000156,0.0,13.965714285714284
2023-07-01,29.63,0.07,0.129999999999999,0.0,13.804285714285713
2023-07-02,29.36,-0.19,0.0,0.0,13.637142857142853
2023-07-03,29.48,-0.05,0.0,0.0,13.46285714285714
2023-07-04,30.12,0.61,0.620000000000001,0.0,13.277142857142854
2023-07-05,30.39,0.9,0.8900000000000006,0.0,13.095714285714283
2023-07-06,30.08,0.6,0.5799999999999983,0.0,12.909999999999998
2023-07-07,29.99,0.53,0.48999999999999844,0.0,12.709999999999997
2023-07-08,30.15,0.71,0.6499999999999986,0.0,12.499999999999998
2023-07-09,30.11,0.68,0.6099999999999994,0.0,12.268571428571429
2023-07-10,30.02,0.61,0.5199999999999996,0.0,12.039999999999997
2023-07-11,29.98,0.59,0.4800000000000004,0.0,11.817142857142855
2023-07-12,30.19,0.81,0.6900000000000013,0.0,11.597142857142856
2023-07-13,30.04,0.68,0.5399999999999991,0.0,11.375714285714285
2023-07-14,29.91,0.5700000000000001,0.41000000000000014,0.0,11.128571428571428
2023-07-15,30.18,0.85,0.6799999999999997,0.0,10.865714285714285
2023-07-16,30.01,0.7000000000000001,0.5100000000000016,0.0,10.602857142857141
2023-07-17,29.71,0.4,0.21000000000000085,0.0,10.335714285714285
2023-07-18,29.89,0.59,0.39000000000000057,0.0,10.079999999999998
2023-07-19,29.94,0.65,0.4400000000000013,0.0,9.848571428571427
2023-07-20,29.88,0.6,0.379999999999999,0.0,9.627142857142855
2023-07-21,29.85,0.58,0.3500000000000014,0.0,9.432857142857141
2023-07-22,29.9,0.63,0.3999999999999986,0.0,9.214285714285712
2023-07-23,29.94,0.68,0.4400000000000013,0.0,8.98142857142857
2023-07-24,29.72,0.47,0.21999999999999886,0.0,8.755714285714285
2023-07-25,29.79,0.54,0.28999999999999915,0.0,8.564285714285713
2023-07-26,29.74,0.51,0.23999999999999844,0.0,8.372857142857141
2023-07-27,29.74,0.51,0.23999999999999844,0.0,8.152857142857142
2023-07-28,29.62,0.39,0.120000000000001,0.0,7.914285714285713
2023-07-29,29.35,0.13,0.0,0.0,7.661428571428571
2023-07-30,29.22,0.01,0.0,0.0,7.408571428571428
2023-07-31,29.46,0.26,0.0,0.0,7.137142857142856
2023-08-01,29.52,0.32,0.019999999999999574,0.0,6.822857142857141
2023-08-02,29.37,0.19,0.0,0.0,6.5214285714285705
2023-08-03,29.4,0.22,0.0,0.0,6.208571428571427
2023-08-04,30.12,0.94,0.620000000000001,0.0,5.897142857142855
2023-08-05,29.89,0.72,0.39000000000000057,0.0,5.555714285714283
2023-08-06,29.6,0.44,0.10000000000000142,0.0,5.241428571428571
2023-08-07,29.48,0.33,0.0,0.0,4.921428571428572
2023-08-08,29.48,0.34,0.0,0.0,4.582857142857143
2023-08-09,29.6,0.46,0.10000000000000142,0.0,4.288571428571428
2023-08-10,29.64,0.51,0.14000000000000057,0.0,3.9799999999999995
2023-08-11,29.58,0.46,0.0799999999999983,0.0,3.681428571428571
2023-08-12,29.44,0.32,0.0,0.0,3.415714285714285
2023-08-13,29.52,0.41,0.019999999999999574,0.0,3.134285714285714
2023-08-14,29.59,0.49,0.08999999999999986,0.0,2.8542857142857136
2023-08-15,29.34,0.25,0.0,0.0,2.588571428571428
2023-08-16,29.43,0.35,0.0,0.0,2.324285714285714
2023-08-17,29.7,0.62,0.1999999999999993,0.0,2.0642857142857136
2023-08-18,29.92,0.84,0.4200000000000017,0.0,1.798571428571428
2023-08-19,29.93,0.86,0.4299999999999997,0.0,1.5499999999999996
2023-08-20,29.98,0.91,0.4800000000000004,0.0,1.307142857142857
2023-08-21,30.08,1.01,0.5799999999999983,0.0,1.0942857142857143
2023-08-22,30.12,1.06,0.620000000000001,0.0,0.9042857142857146
2023-08-23,29.87,0.81,0.370000000000001,0.0,0.7271428571428576
2023-08-24,29.72,0.67,0.21999999999999886,0.0,0.538571428571429
2023-08-25,29.81,0.76,0.3099999999999987,0.0,0.33285714285714313
2023-08-26,29.78,0.73,0.28000000000000114,0.0,0.1471428571428573
2023-08-27,29.9,0.85,0.3999999999999986,0.0,0.0
2023-08-28,30.03,0.98,0.5300000000000011,0.0,0.0
2023-08-29,29.58,0.54,0.0799999999999983,0.0,0.0
2023-08-30,29.86,0.8200000000000001,0.35999999999999943,0.0,0.0
2023-08-31,29.84,0.81,0.33999999999999986,0.0,0.0
2023-09-01,29.74,0.72,0.23999999999999844,0.0,0.0
2023-09-02,29.75,0.73,0.25,0.0,0.0
2023-09-03,29.59,0.5700000000000001,0.08999999999999986,0.0,0.0
2023-09-04,29.54,0.53,0.03999999999999915,0.0,0.0
2023-09-05,29.46,0.45,0.0,0.0,0.0
2023-09-06,28.87,-0.14,0.0,0.0,0.0
2023-09-07,28.67,-0.34,0.0,0.0,0.0
2023-09-08,29.24,0.24,0.0,0.0,0.0
2023-09-09,29.39,0.39,0.0,0.0,0.0
2023-09-10,29.4,0.41,0.0,0.0,0.0
2023-09-11,29.36,0.37,0.0,0.0,0.0
2023-09-12,29.72,0.73,0.21999999999999886,0.0,0.0
2023-09-13,29.77,0.78,0.2699999999999996,0.0,0.0
2023-09-14,29.63,0.65,0.129999999999999,0.0,0.0
2023-09-15,29.29,0.31,0.0,0.0,0.0
2023-09-16,29.24,0.26,0.0,0.0,0.0
2023-09-17,29.13,0.15,0.0,0.0,0.0
2023-09-18,29.42,0.43,0.0,0.0,0.0
2023-09-19,29.57,0.58,0.07000000000000028,0.0,0.0
2023-09-20,29.53,0.54,0.030000000000001137,0.0,0.0
2023-09-21,29.39,0.39,0.0,0.0,0.0
2023-09-22,29.12,0.11,0.0,0.0,0.0
